order_id,customer_id,product_id,order_quantity
OD003,C178,MIL7815,14
OD003,C178,FRE4821,3
OD003,C178,SPA2196,25
OD004,C131,TOR5847,20
OD005,C124,CHI3817,25
OD005,C124,HAM5298,22
OD006,C191,WIN6742,1
OD007,C124,MIN6742,12
OD007,C124,EUR2156,1
OD007,C124,BLA3198,14
OD007,C124,LAR3698,15
OD008,C164,CHO8512,8
OD009,C123,TIG7291,15
OD009,C123,CHI9513,11
OD009,C123,LIC2156,6
OD010,C142,PEC4821,14
OD011,C057,MOZ5826,4
OD011,C057,CHO8512,18
OD012,C102,MIL3456,2
OD012,C102,STR6732,1
OD014,C067,SAL9518,10
OD014,C067,PIN9154,16
OD016,C058,FRE2196,24
OD016,C058,FLA8217,24
OD017,C118,CLA4815,17
OD017,C118,ESP4821,17
OD018,C131,UNS6742,18
OD018,C131,VOD4815,21
OD018,C131,CHO5126,14
OD019,C141,EUR2156,11
OD020,C111,LEM4821,4
OD020,C111,COL8215,17
OD021,C194,SPR4152,5
OD021,C194,BRO3251,13
OD022,C130,BEE8923,1
OD022,C130,MIN6587,20
OD023,C077,PIS2178,5
OD023,C077,SPI1472,9
OD023,C077,MIL3456,20
OD024,C095,PAR5298,17
OD026,C110,POR6315,23
OD026,C110,TOM5643,1
OD028,C081,CHO8512,25
OD029,C165,SPI1472,25
OD029,C165,STR6732,11
OD029,C165,SAL4826,13
OD030,C161,CRA6315,3
OD030,C161,BAS9145,21
OD031,C124,POT7163,25
OD031,C124,LEM4821,18
OD032,C081,PIN9154,4
OD032,C081,ORA7195,25
OD032,C081,MOZ5826,2
OD033,C157,CHI7218,21
OD034,C101,WHI4826,6
OD034,C101,ROO2156,7
OD035,C054,ROS3861,16
OD035,C054,MIL7815,23
OD035,C054,ORG2178,8
OD038,C105,ALM2156,19
OD039,C151,GIN3698,3
OD039,C151,CHO5126,22
OD040,C165,PIN9154,20
OD040,C165,ROO2156,5
OD040,C165,WHI2156,15
OD041,C077,TIG7291,10
OD042,C151,SPI1472,11
OD042,C151,FRE2196,22
OD043,C120,PEP9154,5
OD044,C171,JUM1568,22
OD044,C171,POR6315,11
OD044,C171,CHE7195,19
OD044,C171,PIS2178,20
OD045,C058,BOT5314,21
OD046,C084,STR6732,1
OD046,C084,MIL3456,14
OD047,C191,CRA6315,7
OD047,C191,HAM5298,8
OD050,C199,MIL7815,21
OD050,C199,WHI4826,8
OD051,C074,BRO9812,10
OD051,C074,VOD4815,2
OD052,C172,MOZ5826,1
OD053,C197,BAS9145,17
OD053,C197,ARA9812,24
OD054,C054,STR6732,17
OD054,C054,UNS6742,17
OD054,C054,SOU4815,1
OD055,C127,POT7163,19
OD055,C127,POR6315,13
OD056,C187,GRO1857,2
OD056,C187,MIN6742,15
OD057,C129,TOM5643,17
OD057,C129,LEM4821,25
OD058,C182,CLA4815,14
OD058,C182,POR2175,15
OD058,C182,BRO9812,9
OD059,C073,ROO2156,7
OD060,C193,CHI3817,22
OD060,C193,FLA8217,20
OD061,C150,TOR5847,4
OD061,C150,CHI7218,14
OD063,C124,SWI6315,10
OD063,C124,CHI7218,20
OD064,C072,TOR5847,18
OD064,C072,STR6732,6
OD064,C072,WHI4826,2
OD065,C093,APP5826,8
OD066,C134,POR6315,24
OD069,C057,RIB7249,19
OD069,C057,CHI3817,6
OD070,C139,ORA7195,3
OD071,C189,SOU4815,21
OD071,C189,GIN3698,13
OD071,C189,STR6732,7
OD071,C189,CAR2198,6
OD072,C076,ROS3861,8
OD073,C061,EUR2156,14
OD073,C061,VOD4815,14
OD074,C183,BBQ9154,25
OD074,C183,APL8923,22
OD075,C079,FLA8217,16
OD075,C079,ORG2178,3
OD076,C188,WHI2156,8
OD076,C188,MOZ5826,3
OD076,C188,WIN6742,19
OD077,C085,HAM5298,20
OD078,C121,RIB7249,21
OD078,C121,VOD4815,15
OD079,C199,POR2175,15
OD079,C199,BEE4178,21
OD080,C096,RIB7249,22
OD080,C096,GRO1857,7
OD080,C096,GUM9518,22
OD081,C184,GIN3698,7
OD082,C158,LIC2156,8
OD082,C158,LAR3698,8
OD083,C194,MIL7815,12
OD083,C194,ORA7824,13
OD084,C185,EUR2156,21
OD084,C185,MIN6587,22
OD085,C089,SAL4826,16
OD085,C089,ORA7824,18
OD086,C191,BRO9812,22
OD087,C073,SPR4152,15
OD087,C073,WHO2178,19
OD087,C073,MIN6587,15
OD088,C199,APL8923,2
OD088,C199,FRE2196,12
OD089,C156,BEE4178,4
OD089,C156,FRE4821,21
OD090,C151,SOU4815,25
OD090,C151,SPI1472,4
OD091,C173,JUM1568,20
OD091,C173,EUR2156,15
OD092,C066,LIC2156,12
OD092,C066,FLA8217,6
OD093,C063,FRE4821,18
OD093,C063,WHI2156,5
OD093,C063,ROO2156,20
OD094,C198,CHE7195,8
OD095,C087,VOD4815,16
OD095,C087,CHI9513,23
OD096,C107,CHE7195,23
OD096,C107,TOR5847,18
OD098,C084,ALM2156,13
OD098,C084,PEC4821,7
OD099,C092,ROO2156,3
OD099,C092,TOR5847,9
OD100,C066,STR6732,6
OD101,C056,WHO4821,3
OD101,C056,PIN9154,13
OD101,C056,BRO9812,5
OD101,C056,BOT5314,3
OD102,C191,ORA7195,16
OD103,C152,ORA7195,20
OD103,C152,CHI9513,25
OD106,C187,DAR3985,22
OD106,C187,WIN6742,18
OD107,C103,POT7163,24
OD107,C103,STR6732,10
OD107,C103,CHI7218,17
OD108,C152,PIN9154,4
OD109,C081,VOD4815,4
OD109,C081,SOU4815,1
OD110,C094,BAN4156,20
OD110,C094,DAR3985,14
OD111,C133,COL8215,24
OD112,C166,ORA7195,3
OD112,C166,GIN3698,4
OD113,C191,WIN6742,8
OD113,C191,TOR5847,25
OD113,C191,TIG7291,3
OD114,C149,RIB7249,11
OD115,C188,LAR3698,14
OD115,C188,GUM9518,25
OD116,C065,GUM9518,9
OD116,C065,SWI6315,24
OD117,C154,WIN6742,6
OD117,C154,WHI2156,13
OD118,C075,VOD4815,20
OD118,C075,APL8923,7
OD119,C131,MIL3456,9
OD119,C131,SAL4826,20
OD120,C111,UNS6742,19
OD120,C111,PEC4821,23
OD120,C111,COL8215,12
OD122,C121,MIN6587,12
OD123,C150,VOD4815,4
OD123,C150,MIN6587,22
OD124,C106,SOU4815,18
OD124,C106,FLA8217,12
OD125,C109,PIN9154,18
OD125,C109,POR9842,2
OD126,C125,MIN6742,16
OD126,C125,VOD4815,1
OD127,C123,SOU4815,1
OD127,C123,ROO2156,6
OD128,C067,APL8923,17
OD128,C067,WHI4826,23
OD129,C114,BAN4156,8
OD129,C114,ALM3698,9
OD131,C057,PEP9154,17
OD131,C057,PIN9154,9
OD132,C169,CAS9812,19
OD136,C169,STR6732,8
OD136,C169,BAS9145,22
OD136,C169,BEE4178,19
OD136,C169,APL8923,9
OD137,C118,LAR3698,8
OD138,C172,BBQ9154,6
OD138,C172,SOY4826,11
OD141,C164,CAS9812,10
OD141,C164,SWI6315,2
OD142,C137,STR6732,24
OD142,C137,CAR2198,5
OD144,C137,APL8923,4
OD144,C137,STR6732,1
OD145,C147,MOZ5826,11
OD145,C147,FRE2196,19
OD146,C082,BBQ9154,13
OD148,C073,SPA2196,6
OD148,C073,POR2175,8
OD148,C073,BRO9812,5
OD149,C154,FRE4821,19
OD149,C154,ORA7824,24
OD150,C136,LEM4821,24
OD150,C136,UNS6742,3
OD151,C080,COL8215,11
OD151,C080,HAM5298,22
OD152,C089,POR2175,13
OD152,C089,SOY4826,2
OD153,C119,SOU4815,9
OD153,C119,WHI2156,8
OD153,C119,PIN9154,15
OD154,C152,TIG7291,19
OD155,C197,ARA9812,1
OD155,C197,GIN3698,17
OD157,C193,GIN3698,11
OD157,C193,LEM4821,24
OD158,C066,CHE7195,8
OD158,C066,SAL4826,8
OD159,C062,BEE4178,8
OD159,C062,POR6315,22
OD160,C064,TIG7291,6
OD160,C064,CHE7195,3
OD160,C064,MIL3456,4
OD163,C200,ESP4821,5
OD164,C146,SWI6315,9
OD164,C146,CAR2198,10
OD165,C087,CHO8512,15
OD165,C087,FRE2196,8
OD166,C192,TOM5643,22
OD166,C192,RIB7249,13
OD167,C185,MIN6587,20
OD167,C185,STR6732,12
OD168,C107,PAR5298,8
OD168,C107,ALM2156,23
OD169,C120,ORA7195,13
OD169,C120,PIN9154,13
OD170,C110,MOZ5826,22
OD170,C110,ALM2156,7
OD173,C118,SAL4826,1
OD173,C118,BAN4156,7
OD173,C118,PEC4821,10
OD174,C083,CHI9513,19
OD175,C064,LAR3698,3
OD175,C064,SOY4826,13
OD176,C061,STR6732,2
OD176,C061,LAR3698,11
OD178,C113,ORA7195,14
OD178,C113,BEE8923,14
OD179,C131,POT7163,11
OD179,C131,LIC2156,8
OD181,C122,WHO4821,14
OD181,C122,APL8923,7
OD182,C071,LAR3698,2
OD182,C071,HAM5298,24
OD183,C140,SAL4826,16
OD184,C190,CHI3817,10
OD184,C190,EUR2156,17
OD184,C190,SPR4152,9
OD184,C190,ROO2156,23
OD186,C173,SPR4152,12
OD187,C098,BBQ9154,13
OD187,C098,SPA2196,10
OD190,C149,BEE9518,14
OD190,C149,BBQ9154,2
OD191,C100,BRO9812,12
OD191,C100,ORG2178,15
OD192,C086,ALM2156,4
OD192,C086,CRA6315,3
OD193,C085,WHO4821,20
OD193,C085,HAM5298,3
OD193,C085,CHI7218,23
OD194,C126,CHO8512,23
OD195,C130,MIN6742,19
OD195,C130,BAS9145,20
OD196,C119,LAR3698,17
OD196,C119,STR6732,16
OD197,C139,WIN6742,25
OD197,C139,POT7163,16
OD198,C123,SAL4826,13
OD198,C123,SPI1472,13
OD198,C123,ORA7824,22
OD199,C062,WIN6742,6
OD200,C126,SOY4826,24
OD200,C126,BLA3198,4
OD201,C112,CHO5126,20
OD201,C112,LEM4821,15
OD202,C120,PIN9154,16
OD202,C120,JUM1568,21
OD203,C132,SOY4826,16
OD203,C132,BAS9145,8
OD204,C124,CHI3817,13
OD204,C124,UNS6742,16
OD205,C111,LAR3698,18
OD205,C111,BBQ9154,9
OD206,C188,CHE7195,10
OD206,C188,WHO2178,15
OD207,C087,CHE7195,7
OD207,C087,HAM5298,23
OD208,C109,MIN6587,22
OD208,C109,CHE7195,21
OD209,C051,DAR3985,2
OD210,C099,CHO8512,21
OD210,C099,MIL3456,22
OD210,C099,WHO4821,18
OD210,C099,TIG7291,13
OD211,C118,ARA9812,8
OD212,C107,MIL3456,12
OD212,C107,ROS3861,14
OD213,C059,TOR5847,16
OD213,C059,ORA7195,22
OD214,C181,MIL7815,18
OD214,C181,CAR2198,4
OD215,C070,CHI9513,9
OD215,C070,APP5826,16
OD217,C200,WHI2156,9
OD217,C200,UNS6742,4
OD218,C142,VOD4815,14
OD218,C142,BAN4156,11
OD219,C089,MIN6742,18
OD219,C089,POR9842,7
OD221,C068,WIN6742,23
OD221,C068,BLA3198,22
OD222,C054,DAR3985,18
OD222,C054,COL8215,24
OD224,C181,PEC4821,8
OD224,C181,PIS2178,13
OD225,C153,SAL4826,10
OD226,C051,SOU4815,12
OD226,C051,CAR2198,18
OD226,C051,FLA8217,9
OD227,C180,CHO5126,18
OD227,C180,LIC2156,9
OD229,C102,MIL3456,12
OD229,C102,SPI1472,9
OD230,C175,ALM2156,11
OD230,C175,BAS9145,13
OD231,C183,CAS9812,19
OD231,C183,POR9842,16
OD232,C130,MIN6587,9
OD232,C130,COL8215,10
OD233,C147,CHI7218,4
OD233,C147,TIG7291,17
OD233,C147,FRE2196,18
