voucher_id,voucher_name,voucher_value,voucher_starts_date,voucher_expiry_date
V1011,ValentineLove,5,13/02/2024,14/02/2024
V1012,SpringRenewal,18,30/03/2024,05/04/2024
V1013,BackToSchool,7,20/04/2024,23/04/2024
V1014,SummerSavings,14,10/06/2024,15/06/2024
V1015,SummerVacation,12,16/06/2024,31/08/2024
V1016,AutumnHarvest,16,01/09/2024,30/10/2024
V1017,FallFoliage,15,01/11/2025,28/11/2025
V1018,CyberMonday,10,29/11/2024,30/11/2024
V1019,NewYearResolution,20,01/01/2025,31/01/2025
V1020,HolidayCheers,25,01/12/2025,31/12/2025
